URL,SIZE(bytes),NO OF OUTLINKS,CONTENT-TYPE
https://www.theguardian.com/us-news/2016/nov/12/hillary-clinton-james-comey-letters-emails-election-defeat,937574,153,text/html
https://www.theguardian.com/us-news/new-hampshire,725154,163,text/html
https://www.theguardian.com/us-news/2019/feb/11/ilhan-omar-antisemitic-tweets-house-democrats-apology,930281,153,text/html
https://www.theguardian.com/us-news/2019/feb/15/national-emergency-border-wall-trump-latest-news,946032,147,text/html
https://www.theguardian.com/us-news/us-federal-government-shutdown-2019,702225,158,text/html
https://www.theguardian.com/us-news/2017/mar/21/dakota-access-pipeline-ing-sells-stake-loan-standing-rock,958028,148,text/html
https://www.theguardian.com/us-news/us-elections-2020,726015,172,text/html
https://www.theguardian.com/us-news/2018/may/24/greg-gianforte-body-slam-inquiry-ben-jacobs-guardian-reporter,921406,130,text/html
https://www.theguardian.com/us-news/greg-gianforte,722083,163,text/html
https://www.theguardian.com/us-news/2019/feb/14/trump-2020-republicans-against-president-never-trumpers,935913,137,text/html
https://www.theguardian.com/us-news/2017/may/22/dakota-access-pipeline-oil-leak-energy-transfer-partners,953147,140,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/10/all,627030,126,text/html
https://www.theguardian.com/us-news/2019/feb/14/trump-national-emergency-explainer-border-wall,943958,144,text/html
https://www.theguardian.com/us-news/2019/feb/06/house-democrats-new-investigation-trump-russia,926791,133,text/html
https://www.theguardian.com/us-news/alexandria-ocasio-cortez,697034,150,text/html
https://www.theguardian.com/us-news,778048,186,text/html
https://www.theguardian.com/us-news/2019/feb/12/bill-de-blasio-2020-presidential-run-new-hampshire,924072,140,text/html
https://www.theguardian.com/us-news/2017/jan/24/keystone-xl-dakota-access-pipeline-explainer,961371,157,text/html
https://www.theguardian.com/us-news/2018/mar/16/ryan-zinke-look-into-montana-land-proposal,922133,137,text/html
https://www.theguardian.com/us-news/massachusetts,693183,152,text/html
https://www.theguardian.com/us-news/2017/mar/18/dakota-access-pipeline-appeals-court-oil,961092,154,text/html
https://www.theguardian.com/us-news/2019/feb/15/us-coastal-businesses-hit-by-everyday-impact-of-climate-change-study-shows,918591,143,text/html
https://www.theguardian.com/us-news/live/2019/feb/12/trump-news-shutdown-latest-live-updates-us-politics-today,1088370,253,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/08/all,639062,133,text/html
https://www.theguardian.com/us-news/2019/feb/15/roger-stone-judge-issues-gag-order-on-trump-confidant-in-criminal-case,925004,133,text/html
https://www.theguardian.com/us-news/california,728483,174,text/html
https://www.theguardian.com/us-news/video/2017/jan/24/dakota-access-keystone-xl-pipelines-order-video,891043,126,text/html
https://www.theguardian.com/us-news/2018/oct/18/trump-greg-gianforte-assault-guardian-ben-jacobs,924700,140,text/html
https://www.theguardian.com/us-news/2018/dec/06/republicans-michigan-wisconsin-strip-power-incoming-democrats,938461,147,text/html
https://www.theguardian.com/us-news/trump-russia-inquiry,685224,149,text/html
https://www.theguardian.com/us-news/video/2019/feb/11/democratic-senator-amy-klobuchar-announces-presidential-bid-video-report,889478,122,text/html
https://www.theguardian.com/us-news/alaska,721509,161,text/html
https://www.theguardian.com/us-news/live/2019/feb/13/trump-news-live-latest-updates-government-shutdown-deal-democrats-us-politics-today,1086742,240,text/html
https://www.theguardian.com/us-news/2018/nov/12/california-fires-latest-what-is-happening-climate-change-trump-response-explained,969187,153,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/12/all,640132,134,text/html
https://www.theguardian.com/us/money,700233,166,text/html
https://www.theguardian.com/us-news/2018/nov/25/donald-trump-democrats-subpoenas-house,953007,167,text/html
https://www.theguardian.com/us-news/2018/oct/14/ammon-bundy-republicans-far-right-figures-montana-anti-government-event,928263,149,text/html
https://www.theguardian.com/us-news/us-unions,696727,154,text/html
https://www.theguardian.com/us-news/2018/dec/09/scott-walker-wisconsin-republican-power-grab-tony-evers,924023,140,text/html
https://www.theguardian.com/us-news/2019/feb/15/paul-manafort-sentencing-mueller-trump-russia,923458,134,text/html
https://www.theguardian.com/us-news/new-york?page=4,680488,147,text/html
https://www.theguardian.com/us-news/2019/feb/13/shutdown-deal-republicans-trump-house-vote-border,926410,135,text/html
https://www.theguardian.com/us-news/oregon,718976,160,text/html
https://www.theguardian.com/us/sport,772057,190,text/html
https://www.theguardian.com/us-news/2018/nov/10/donald-trump-midterm-elections-2020-democrats-republicans,963225,169,text/html
https://www.theguardian.com/us-news/2017/aug/21/missouri-fast-food-workers-better-pay-popeyes-economics,973483,159,text/html
https://www.theguardian.com/us-news/2018/jul/09/montana-baby-found-woods-debris,917982,127,text/html
https://www.theguardian.com/us-news/2018/nov/15/florida-recount-midterms-bush-gore,961743,155,text/html
https://www.theguardian.com/us/travel,801292,206,text/html
https://www.theguardian.com/us-news/us-congress/2019/feb/07/all,627440,126,text/html
https://www.theguardian.com/us-news/dakota-access-pipeline,730055,163,text/html
https://www.theguardian.com/us/lifeandstyle,805754,196,text/html
https://www.theguardian.com/us-news/2018/nov/25/nancy-pelosi-democrat-speaker-house-challenge-leadership,950298,151,text/html
https://www.theguardian.com/us-news/new-york?page=3,721645,170,text/html
