19/03/09 01:12:37 INFO client.RMProxy: Connecting to ResourceManager at hcluster-1-m/10.138.0.2:8032
19/03/09 01:12:37 INFO client.AHSProxy: Connecting to Application History server at hcluster-1-m/10.138.0.2:10200
19/03/09 01:12:38 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/09 01:12:44 INFO input.FileInputFormat: Total input files to process : 74
19/03/09 01:12:44 INFO mapreduce.JobSubmitter: number of splits:74
19/03/09 01:12:44 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/09 01:12:44 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552090565601_0001
19/03/09 01:12:45 INFO impl.YarnClientImpl: Submitted application application_1552090565601_0001
19/03/09 01:12:46 INFO mapreduce.Job: The url to track the job: http://hcluster-1-m:8088/proxy/application_1552090565601_0001/
19/03/09 01:12:46 INFO mapreduce.Job: Running job: job_1552090565601_0001
19/03/09 01:12:57 INFO mapreduce.Job: Job job_1552090565601_0001 running in uber mode : false
19/03/09 01:23:48 INFO mapreduce.Job:  map 78% reduce 0%
19/03/09 01:23:51 INFO mapreduce.Job:  map 79% reduce 0%
19/03/09 01:24:09 INFO mapreduce.Job:  map 80% reduce 0%
19/03/09 01:24:21 INFO mapreduce.Job:  map 81% reduce 0%
19/03/09 01:24:24 INFO mapreduce.Job:  map 82% reduce 0%
19/03/09 01:24:31 INFO mapreduce.Job:  map 83% reduce 0%
19/03/09 01:24:36 INFO mapreduce.Job:  map 84% reduce 0%
19/03/09 01:24:41 INFO mapreduce.Job:  map 85% reduce 0%
19/03/09 01:24:48 INFO mapreduce.Job:  map 86% reduce 0%
19/03/09 01:25:06 INFO mapreduce.Job:  map 87% reduce 0%
19/03/09 01:25:12 INFO mapreduce.Job:  map 88% reduce 0%
19/03/09 01:25:17 INFO mapreduce.Job:  map 89% reduce 0%
19/03/09 01:25:30 INFO mapreduce.Job:  map 90% reduce 0%
19/03/09 01:25:35 INFO mapreduce.Job:  map 91% reduce 0%
19/03/09 01:25:46 INFO mapreduce.Job:  map 92% reduce 0%
19/03/09 01:25:49 INFO mapreduce.Job:  map 94% reduce 0%
19/03/09 01:25:55 INFO mapreduce.Job:  map 95% reduce 0%
19/03/09 01:26:05 INFO mapreduce.Job:  map 96% reduce 0%
19/03/09 01:26:14 INFO mapreduce.Job:  map 97% reduce 0%
19/03/09 01:26:23 INFO mapreduce.Job:  map 99% reduce 0%
19/03/09 01:26:24 INFO mapreduce.Job:  map 100% reduce 0%
19/03/09 01:26:36 INFO mapreduce.Job:  map 100% reduce 2%
19/03/09 01:26:38 INFO mapreduce.Job:  map 100% reduce 3%
19/03/09 01:26:42 INFO mapreduce.Job:  map 100% reduce 5%
19/03/09 01:26:43 INFO mapreduce.Job:  map 100% reduce 6%
19/03/09 01:26:44 INFO mapreduce.Job:  map 100% reduce 7%
19/03/09 01:26:45 INFO mapreduce.Job:  map 100% reduce 8%
19/03/09 01:26:48 INFO mapreduce.Job:  map 100% reduce 9%
19/03/09 01:26:49 INFO mapreduce.Job:  map 100% reduce 10%
19/03/09 01:26:50 INFO mapreduce.Job:  map 100% reduce 11%
19/03/09 01:26:51 INFO mapreduce.Job:  map 100% reduce 12%
19/03/09 01:26:52 INFO mapreduce.Job:  map 100% reduce 13%
19/03/09 01:26:56 INFO mapreduce.Job:  map 100% reduce 14%
19/03/09 01:27:00 INFO mapreduce.Job:  map 100% reduce 15%
19/03/09 01:27:04 INFO mapreduce.Job:  map 100% reduce 17%
19/03/09 01:27:06 INFO mapreduce.Job:  map 100% reduce 19%
19/03/09 01:27:19 INFO mapreduce.Job:  map 100% reduce 20%
19/03/09 01:27:22 INFO mapreduce.Job:  map 100% reduce 21%
19/03/09 01:27:25 INFO mapreduce.Job:  map 100% reduce 22%
19/03/09 01:27:26 INFO mapreduce.Job:  map 100% reduce 24%
19/03/09 01:27:28 INFO mapreduce.Job:  map 100% reduce 25%
19/03/09 01:27:32 INFO mapreduce.Job:  map 100% reduce 27%
19/03/09 01:27:37 INFO mapreduce.Job:  map 100% reduce 28%
19/03/09 01:27:46 INFO mapreduce.Job:  map 100% reduce 29%
19/03/09 01:27:52 INFO mapreduce.Job:  map 100% reduce 30%
19/03/09 01:27:58 INFO mapreduce.Job:  map 100% reduce 31%
19/03/09 01:28:02 INFO mapreduce.Job:  map 100% reduce 37%
19/03/09 01:28:04 INFO mapreduce.Job:  map 100% reduce 40%
19/03/09 01:28:08 INFO mapreduce.Job:  map 100% reduce 41%
19/03/09 01:28:10 INFO mapreduce.Job:  map 100% reduce 46%
19/03/09 01:28:13 INFO mapreduce.Job:  map 100% reduce 49%
19/03/09 01:28:14 INFO mapreduce.Job:  map 100% reduce 51%
19/03/09 01:28:19 INFO mapreduce.Job:  map 100% reduce 55%
19/03/09 01:28:21 INFO mapreduce.Job:  map 100% reduce 56%
19/03/09 01:28:25 INFO mapreduce.Job:  map 100% reduce 57%
19/03/09 01:28:27 INFO mapreduce.Job:  map 100% reduce 59%
19/03/09 01:28:32 INFO mapreduce.Job:  map 100% reduce 60%
19/03/09 01:28:33 INFO mapreduce.Job:  map 100% reduce 61%
19/03/09 01:28:34 INFO mapreduce.Job:  map 100% reduce 62%
19/03/09 01:28:39 INFO mapreduce.Job:  map 100% reduce 63%
19/03/09 01:28:40 INFO mapreduce.Job:  map 100% reduce 67%
19/03/09 01:28:45 INFO mapreduce.Job:  map 100% reduce 68%
19/03/09 01:28:46 INFO mapreduce.Job:  map 100% reduce 72%
19/03/09 01:28:52 INFO mapreduce.Job:  map 100% reduce 73%
19/03/09 01:28:57 INFO mapreduce.Job:  map 100% reduce 74%
19/03/09 01:29:01 INFO mapreduce.Job:  map 100% reduce 75%
19/03/09 01:29:04 INFO mapreduce.Job:  map 100% reduce 76%
19/03/09 01:29:10 INFO mapreduce.Job:  map 100% reduce 77%
19/03/09 01:29:14 INFO mapreduce.Job:  map 100% reduce 78%
19/03/09 01:29:19 INFO mapreduce.Job:  map 100% reduce 79%
19/03/09 01:29:22 INFO mapreduce.Job:  map 100% reduce 80%
19/03/09 01:29:26 INFO mapreduce.Job:  map 100% reduce 81%
19/03/09 01:29:31 INFO mapreduce.Job:  map 100% reduce 82%
19/03/09 01:29:34 INFO mapreduce.Job:  map 100% reduce 83%
19/03/09 01:29:39 INFO mapreduce.Job:  map 100% reduce 84%
19/03/09 01:29:43 INFO mapreduce.Job:  map 100% reduce 85%
19/03/09 01:29:46 INFO mapreduce.Job:  map 100% reduce 86%
19/03/09 01:29:52 INFO mapreduce.Job:  map 100% reduce 87%
19/03/09 01:29:56 INFO mapreduce.Job:  map 100% reduce 88%
19/03/09 01:30:01 INFO mapreduce.Job:  map 100% reduce 89%
19/03/09 01:30:07 INFO mapreduce.Job:  map 100% reduce 90%
19/03/09 01:30:13 INFO mapreduce.Job:  map 100% reduce 91%
19/03/09 01:30:16 INFO mapreduce.Job:  map 100% reduce 92%
19/03/09 01:30:21 INFO mapreduce.Job:  map 100% reduce 93%
19/03/09 01:30:27 INFO mapreduce.Job:  map 100% reduce 94%
19/03/09 01:30:34 INFO mapreduce.Job:  map 100% reduce 95%
19/03/09 01:30:45 INFO mapreduce.Job:  map 100% reduce 96%
19/03/09 01:30:52 INFO mapreduce.Job:  map 100% reduce 97%
19/03/09 01:31:03 INFO mapreduce.Job:  map 100% reduce 98%
19/03/09 01:31:10 INFO mapreduce.Job:  map 100% reduce 99%
19/03/09 01:31:22 INFO mapreduce.Job:  map 100% reduce 100%
19/03/09 01:31:34 INFO mapreduce.Job: Job job_1552090565601_0001 completed successfully
19/03/09 01:31:34 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=19798922001
		FILE: Number of bytes written=30133070880
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91426620
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10508
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=74
		Launched reduce tasks=5
		Rack-local map tasks=74
		Total time spent by all maps in occupied slots (ms)=15690536
		Total time spent by all reduces in occupied slots (ms)=5235224
		Total time spent by all map tasks (ms)=3922634
		Total time spent by all reduce tasks (ms)=1308806
		Total vcore-milliseconds taken by all map tasks=3922634
		Total vcore-milliseconds taken by all reduce tasks=1308806
		Total megabyte-milliseconds taken by all map tasks=8033554432
		Total megabyte-milliseconds taken by all reduce tasks=2680434688
	Map-Reduce Framework
		Map input records=74
		Map output records=542247078
		Map output bytes=9234211755
		Map output materialized bytes=10318708131
		Input split bytes=10508
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076757
		Reduce shuffle bytes=10318708131
		Reduce input records=542247078
		Reduce output records=1076757
		Spilled Records=1582634577
		Shuffled Maps =370
		Failed Shuffles=0
		Merged Map outputs=370
		GC time elapsed (ms)=122553
		CPU time spent (ms)=3395520
		Physical memory (bytes) snapshot=112049446912
		Virtual memory (bytes) snapshot=277551489024
		Total committed heap usage (bytes)=102331580416
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=91426620
Job output is complete 
